뉴스 식별자,일자,언론사,기고자,title_kor,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,keys_kor,특성추출(가중치순 상위 50개),summary,URL,분석제외 여부
08100401.20211030161602001,20211030,YTN,신윤정,프로야구 시즌 최종전 누가 웃을까?...잠시 뒤 결판,스포츠>야구, 스포츠>농구_배구, 스포츠>축구,사고>스포츠사고,,,오지환,"경기,광주,대구,뷰캐넌,요키시,창원,키움","KIA,KIA전,LG,LG 트윈스,NC,NC 다이노스,SSG,kt,wiz,경기,다카하시,두산,롯데,삼성,삼성 라이온즈,와일드카드,켈리,파슨스,한화","최종전,프로,야구,시즌,결판,앵커,프로,야구,정규,시즌,마지막,경기,3개,티셔츠,우승,기념,모자,준비,최종전,1위,7위,순위,취재,연결,신윤정,치열,순위,다툼,시즌,경기,결국,마지막,결정,정규,시즌,최종전,5시,구장,전국,라이온즈,공동,선두,삼성,kt,wiz,NC,다이노스,키움,히어로즈,덜미,트윈스,LG,반게임,추격,반게임,허용,삼성,kt,2파전,전개,다툼,정규,시즌,우승,마지막,순간,3파전,확대,3연승,LG,롯데,최종전,삼성,kt,LG,극적,우승,역전,정규,시즌,가능,LG,삼성,kt,LG,27년,정규,시즌,우승,차지,반대,삼성,kt,경기,사상,자리,대구,단판,승부,타이,브레이커,타이,브레이커,승부치기,무승부,연기,승부,경기,이닝,진행,LG,유격수,오지환,경기,진단,왼쪽,어깨,쇄골,골절,최종전,출전,불가능,LG,악재,포스트,시즌,진출,중위,운명,결정,두산,4위,1승,어드밴티지,와일드,카드,결정전,두산,SSG,SSG,4위,키움,광주,KIA,승리,SSG,극적,가을,야구,무대,합류,키움,요키시,KIA,다카하시,선발,출전,창원,삼성,뷰캐넌,NC,파슨스,두산,최원준,한화,장민재,LG,켈리,롯데,박세웅,kt,소형,SSG,김건우,맞대결","최종전,lg,삼성,kt,두산,1위,ssg,광주,결정전,반게임,4위,롯데,신윤정,nc,김건우,다이노스,라이온즈,트윈스,오지환","[앵커]
프로야구 정규시즌 마지막 경기가 잠시 후 벌어집니다.

무려 3개 팀이 우승 기념 티셔츠와 모자를 준비하고 최종전을 맞게 됐는데, 1위부터 7위까지 순위가 모두 오늘 갈리게 됐습니다.

취재기자 연결해 자세히 알아봅니다. 신윤정 기자!

유례없이 치열하던 순위 다툼, 올 시즌 1위 팀이 결국 마지막 경기에서 결정 나게 됐군요?

[기자]
정규시..",https://www.ytn.co.kr/_ln/0107_202110301613141762,
08100401.20211030140604001,20211030,YTN,신윤정,프로야구 시즌 최종전 누가 웃을까?...오늘 오후 결판,스포츠>야구, 스포츠>농구_배구, 스포츠>축구,사고>스포츠사고,,,오지환,"경기,광주,대구,뷰캐넌,요키시,창원,키움","KIA,KIA전,LG,LG 트윈스,NC,NC 다이노스,SSG,kt,wiz,경기,다카하시,두산,롯데,삼성,삼성 라이온즈,와일드카드,켈리,파슨스,한화","최종전,프로,야구,시즌,결판,앵커,프로,야구,정규,시즌,마지막,경기,3개,티셔츠,우승,기념,모자,준비,최종전,1위,7위,순위,취재,연결,신윤정,치열,순위,다툼,시즌,경기,결국,마지막,결정,정규,시즌,최종전,5시,구장,전국,라이온즈,공동,선두,삼성,kt,wiz,NC,다이노스,키움,히어로즈,덜미,트윈스,LG,반게임,추격,반게임,허용,삼성,kt,2파전,전개,다툼,정규,시즌,우승,마지막,순간,3파전,확대,3연승,LG,롯데,최종전,삼성,kt,LG,극적,우승,역전,정규,시즌,가능,LG,삼성,kt,LG,27년,정규,시즌,우승,차지,반대,삼성,kt,경기,사상,자리,대구,단판,승부,타이,브레이커,타이,브레이커,승부치기,무승부,연기,승부,경기,이닝,진행,LG,유격수,오지환,경기,진단,왼쪽,어깨,쇄골,골절,최종전,출전,불가능,LG,악재,포스트,시즌,진출,중위,운명,결정,두산,4위,1승,어드밴티지,와일드,카드,결정전,두산,SSG,SSG,4위,키움,광주,KIA,승리,SSG,극적,가을,야구,무대,합류,키움,요키시,KIA,다카하시,선발,출전,창원,삼성,뷰캐넌,NC,파슨스,두산,최원준,한화,장민재,LG,켈리,롯데,박세웅,kt,소형,SSG,김건우,맞대결","최종전,lg,삼성,kt,두산,1위,ssg,광주,결정전,반게임,4위,롯데,신윤정,nc,김건우,다이노스,라이온즈,트윈스,오지환","[앵커]
프로야구 정규시즌 마지막 경기가 잠시 후 벌어집니다.

무려 3개 팀이 우승 기념 티셔츠와 모자를 준비하고 최종전을 맞게 됐는데, 1위부터 7위까지 순위가 모두 오늘 갈리게 됐습니다.

취재기자 연결해 자세히 알아봅니다. 신윤정 기자!

유례없이 치열하던 순위 다툼, 올 시즌 1위 팀이 결국 마지막 경기에서 결정 나게 됐군요?

[기자]
네, ..",https://www.ytn.co.kr/_ln/0107_202110301404388583,중복
10100301.20211029151011005,20211029,스포츠한국,스포츠한국 전성우 기자 jswoo9611@sportshankook.co.kr,'기회가 도대체 몇번이었나 ' 피렐라 강민호의 심상치 않은 침묵[창원에서],스포츠>야구, 스포츠>야구>한국프로야구, 스포츠>야구>메이저리그,,,,"강한울,오재일,이원석,류진욱,루친스키,드류,강민호,구자욱,피렐라","경기,창원,무안타,한국,경남","삼진,삼성 라이온즈,SOL,NC 다이노스,NC,경기,KT,신한은행,NC파크,위즈,삼성,히어로즈","기회,피렐라,강민호,침묵,창원,삼성,라이온즈,자랑,강타자들,중요,집중력,삼성,29일,7시,NC파크,경남,창원,NC,파크,신한은행,SOL,KBO,리그,NC,다이노스,원정경기,패배,삼성,이날,히어로즈,KT,위즈,공동,NC,루친스키,선발,투수,드류,NC,투수진,삼성,4,5번,타자들,찬스,무기력,삼성,이날,NC,기회,NC,이날,경기,삼성,NC,2개,실책,삼성,2번,타자,구자욱,3번,타자,오재일,역할,이날,기록,밥상,맛깔,등장,타자들,호세,피렐라,강민호,침묵,결정적,이날,피렐라,강민호,기록,피렐,삼진,강민호,이날,삼진,타구들,공격,6회,상황,무사,피렐라,아웃,루킹,삼진,강민호,플라이,아웃,빅이닝,불씨,순식간,8회,상황,무사,피렐라,류진욱,투수,NC,초구,포수,파울,플라이,아웃,타석,강민호,중견수,뜬공,아웃,상황,강한울,삼성,대타,적시타,삼성,이원석,타구,유격수,이닝,마무리,흐름,삼성,8회,NC,김주원,허용,추가점,경기,마무리,경기,상황,타이브레이크,경기,피렐라,강민호,찬스,집중력,하락,삼성,스포츠한국","삼성,nc,강민호,피렐라,삼진,창원,집중력,8회,드류,경남,타자들,다이노스,루친스키,2루,적시타,김주원,루킹,투수진,2루,강타자,강타자들","[스포츠한국 창원= 전성우 기자] 삼성 라이온즈가 자랑하던 강타자들이 가장 중요한 시기에 집중력을 잃었다. 



삼성은 29일 오후 7시에 경남 창원 NC파크에서 열린 2021 신한은행 SOL KBO리그 NC 다이노스와의 원정경기에서 1-3 패배를 당했다. 



이로써 삼성은 이날 키움 히어로즈에게 패한 KT 위즈와 공동 1위에 머무르게 됐다. 

..",,
10100301.20211029151011004,20211029,스포츠한국,허행운,"‘양의지 30홈런-루친스키 15승’ NC, 갈길 바쁜 삼성에 3-1 신승 [창원에서]",스포츠>야구, 스포츠>농구_배구, 스포츠>올림픽_아시안게임,,,,원종현,"수원,경기,창원,한국","삼성 라이온즈,5탈삼진,KT,신한은행,NC파크,우전,삼성,삼성 킬러,SOL,NC,NC 다이노스,히어,위즈","홈런,루친스키,15승,NC,삼성,신승,창원,NC,다이노스,1승,삼성,라이온즈,발목,NC,NC파크,창원,NC,파크,15차,신한은행,SOL,KBO,리그,삼성,홈경기,승리,우승,차지,디펜딩,챔피언,NC,위즈,KT,더블헤더,수원,원정,기록,탈락,가을,야구,확정,아쉬움,NC,이날,경기력,위로,승리,선물,선두,경쟁,여념,삼성,매운맛,고춧가루,성공,이날,14승,기록,투수,선발,카드,NC,에이스,루친스키,우완,드류,삼성,백쇼,좌완,백정현,투수,상대,기억,루친스키,2패,통산,삼성,상대,평균,자책점,2.15,기록,차례,삼성,호투,백정현,NC,상대,평균,자책점,2.70,경기,초반,NC,분위기,주도,중심,NC,안방마님,양의지,타석,우전안타,선취점,선물,4회,백정현,초구,체인지업,공략,좌측담장,솔로포,홈런,양의지,84번,KBO,리그,역대,30홈런,100타점,달성,양의지,원맨쇼,NC,삼성,공격,경기,중반,5회,6회,기회,5회,김상수,박해민,연속,범타,6회,상대,실책,무사,중심타선,침묵,고개,삼성,타선,8회,득점,성공,볼넷,안타,무사,피렐라,강민호,범타,상황,대타,적시타,가뭄,단비,1점,선물,추격,NC,8회,최정원,안타,김주원,2루,폭발,결국,삼성,추격,의지,허무,9회,공격,마무리,경기,아쉬움,루친스키,호투,이날,삼성,킬러,증명,원종현,임정호,류진욱,이용찬,NC,불펜진,1실점,마지막,리드,성공,백정현,삼성,선발,투구,양의지,2점,패인,타선,득점,지원,백정현,아쉬움,백정현,결국,5월,5개월,패전,기록,삼성,경쟁,선두,KT,히어로즈,공동,유지,안도,한숨,이날,치열,승부,다음날,장소,마지막,맞대결,마지막,순위싸움,2021시즌,결말,스포츠한국","삼성,nc,백정현,양의지,루친스키,창원,2루,5회,6회,8회,2루,수원,84번,kt,30홈런,자책점,우완,불펜진,다이노스,드류","[스포츠한국=창원, 허행운 기자] NC 다이노스가 1승이 너무 간절했던 삼성 라이온즈의 발목을 잡았다.



NC는 29일 창원 NC파크에서 열린 2021 신한은행 SOL KBO리그 팀 간 15차전 삼성과의 홈경기에서 3-1로 짜릿한 승리를 거뒀다.



작년 우승을 차지했던 ‘디펜딩 챔피언’ NC는 지난 28일 KT 위즈와의 수원 원정 더블헤더에서 1..",,
10100301.20211028144001002,20211028,스포츠한국,"허행운
기자",'키스톤 실책' 왕조 부활 노리는 삼성에게 닥친 수비 악몽[고척에서],스포츠>야구, 스포츠>농구_배구, 스포츠>월드컵,,,,"김상수,이용규,이정후,김지찬,정찬헌","서울,0.5경기,경기,선두타자,한국,고척,외야,내야","삼진,삼성 라이온즈,SOL,SSG 랜더스,몽고메리,KT,신한은행,위즈,삼성,히어로즈,내야","키스톤,실책,왕조,부활,삼성,수비,악몽,고척,삼성,라이온즈,왕조,부활,삼성,서울,고척,스카이돔,키움,히어로즈,신한은행,SOL,KBO,리그,정규,시즌,마지막,맞대결,패배,삼성,타선,정찬헌,상대,선발,투수,6이닝,무실점,8회,무득점,불펜,공략,9회,마지막,공격,3점,경기,초반,방망이,이날,결정,패인,삼성,수비진,집중력,부족,삼성,선발,마이크,몽고메리,등판,퀄리티스타트,경기,연속,6이닝,기록,상태,기세,이날,8개,삼진,개인,탈삼진,경기,최다,정도,구위,준수,중요,순간,삼성,실책,연발,몽고메리,어깨,삼성,1회,수비,불안,위기,크레익,땅볼,병살,이닝,마무리,상황,2루,아웃카운트,김상수,송구,타자,1루,주자,사이,베이스,삼성,3회,유격수,김지찬,냉탕,온탕,수비,김지찬,선두타자,타석,변상권,강습,타구,슬라이딩,캐치,SSG,랜더스전,아픔,안심,위기,삼성,몽고메리,리그,타율,이정후,침착,유격수,땅볼,유도,병살,가능,상황,김지찬,포구,실책,외야,주자,사이,삼성,상대,크레익,적시타,이닝,삼성,악몽,6회,위기,삼성,내야,수비,점수,의지,선택,적중,이용규,타구,김상수,바운드,핸들링,포구,김상수,송구,덕아웃,허무,점수,상대,키움,2개,실책,삼성,주도권,키움,부담감,실점,경기,삼성,수비력,선두,모습,핵심,키스톤,콤비,실책,치명적,치열,다툼,KT,위즈,0.5경기,선두,유지,위안거리,스포츠한국","삼성,몽고메리,김지찬,김상수,땅볼,6이닝,이정후,유격수,2루,1루,스카이돔,크레익,고척,랜더스전,키스톤","[스포츠한국 고척= 허행운 기자] 삼성 라이온즈의 '왕조 부활'을 위한 과제가 분명히 드러났다.



삼성은 지난 27일 서울 고척 스카이돔에서 열린 키움 히어로즈와의 2021 신한은행 SOL KBO리그 정규 시즌 팀 간 마지막 맞대결에서 3-8로 패배했다.



삼성 타선은 상대 선발투수 정찬헌(6이닝 무실점)에게 꽁꽁 묶였다. 8회까지 무득점에 그치..",,
10100101.20211028154910001,20211028,스포츠서울,이환범,"알투베 ML PS홈런 22개 공동 2위, KBO PS 통산 홈런기록은?",스포츠>야구, 스포츠>농구_배구, 스포츠>골프,,,,"버니,박병호,이승엽","애틀랜타,휴스턴,타이론,라미레스,보스턴,한국","다저스,한국시리즈,월드시리즈,PS,일본프로야구,두산,SSG,라미레스,휴스턴 애스트로스,알투베,히어로즈","알투베,ML,PS,홈런,공동,KBO,PS,통산,홈런,기록,알투베,메이저,리그,홈런,공동,KBO리그,휴스턴,애스트로스,호세,알투베,2위,메이저,리그,포스트,시즌,역대,개인,최다,홈런,공동,알투베,28일,한국시간,휴스턴,미닛,메이트,파크,애틀랜타,브레이브스,월드,시리즈,솔로,홈런,22번,포스트,시즌,통산,홈런,윌리엄스,2위,역대,포스트,시즌,최다,홈런,공동,1위,보스턴,다저스,매니,라미네스,29개,기록,알투베,신장,메이저리그,프로,야구,선수,비교,파워,덩치,선수들,전유물,홈런,참고,공동,버니,윌리엄스,신장,6피트,인치,알투베,라미레스,포스트,시즌,시즌,29개,홈런,신장,포스트,시즌,최다,홈런,기록,보유자,주인공,은퇴,국민,타자,이승엽,KBO,명예홍보대사,준플레이오프,2개,플레이오프,한국시리즈,6개,홈런,14홈런,PS,통산,홈런,기록,일본프로야구,8년,공백,통산,최다,홈런,467개,기록,포스트,시즌,최다,홈런,보유,이승엽,신장,매니,라미레스,국내프로야구,이승엽,기록,포스트,시즌,홈런,역대,두산,타이론,우즈,13개,은퇴,현역선수,키움,히어로즈,박병호,12개,기록,역대,랭크,SSG,최정,10개,공동","알투베,이승엽,휴스턴,메이저리그,kbo,선수들,ps,매니,국내프로야구,1위,라미레스,윌리엄스,2위,22번,최정","[스포츠서울 | 이환범기자]‘작은 거인 알투베 메이저리그 홈런 공동2위, KBO리그는?’

휴스턴 애스트로스의 호세 알투베가 메이저리그 포스트시즌 역대 개인최다 홈런 공동 2위가 됐다. 

알투베는 28일(한국시간) 휴스턴 미닛 메이트 파크에서 열린 애틀랜타 브레이브스와의 월드시리즈 2차전에서 7회 솔로홈런을 터뜨렸다. 포스트시즌 통산 22번째 홈런으로..",,
10100301.20211027163957004,20211027,스포츠한국,"전성우
기자",'PS 포기 않는다' 키움 우승경쟁 갈 길 바쁜 삼성에 8-3 승리[고척에서],스포츠>야구, 스포츠>농구_배구, 스포츠>올림픽_아시안게임,,,,"김상수,이용규,박동원,예진원,김웅빈,이정후,김지찬,크레익,정찬헌,김혜성","고척스카이돔,서울,경기,한국","삼성 라이온즈,SOL,경기,몽고메리,KT,신한은행,한창,위즈,삼성,히어로즈","PS,포기,우승경쟁,삼성,승리,고척,실낱,희망,키움,히어로즈,삼성,라이온즈,발목,키움,27일,서울,고척스카이돔,삼성,신한은행,SOL,KBO,리그,맞대결,승리,키움,진출,포스트,시즌,자력,불가능,상황,이젠,경기,경쟁팀들,경기,결과,KT,위즈,우승,경쟁,삼성,이날,패배,키움,투타,조화,완벽,키움,투수진,삼성,타선,타자들,점수,투수들,마음,삼성,허무,실책들,키움,선취점,1회,주자,상황,김혜성,키움,타자,안타,도루,성공,2루,안착,이정후,내야안타,크레익,땅볼,선취,득점,성공,키움,3회,상황,상대,실책,추가점,이정후,땅볼,김지찬,삼성,유격수,이용규,점수,찬스,크레익,상대,선발,투수,마이크,몽고메리,투심,시속,149km,중견수,적시타,키움,타자,5회,상황,해결사,박병호,몽고메리,140km,커터,적시타,중전,점수,키움,점수,6회,대타,박동원,중견수,2루,예진원,박동원,대주자,상대,폭투,3루,진루,삼성,김상수,실책,예진원,여유,크레익,적시타,키움,키움,쐐기점,7회,대타,김웅빈,적시타,9회,삼성,3점,만회,승부,역부족,경기,마무리,이날,키움,선발투수,정찬헌,6이닝,3피,안타,무실점,기록,효율적,압도적,피칭,삼성,타자,정찬헌,상대,찬스,2번,타자,유격수,김혜성,기록,테이블세터,역할,4번,타자,1루,크레익,3타점,해결사,능력,키움,하루,휴식,29일,동일,장소,리그,홈경기,KT,상대,스포츠한국","삼성,크레익,적시타,몽고메리,2루,땅볼,중견수,유격수,6이닝,이정후,해결사,2루,박동원,3루,예진원,정찬헌,선발투수,타자들,김혜성,3루,2루,kt",":

[스포츠한국 고척= 전성우 기자] 실낱같은 5강 희망을 이어가고 있는 키움 히어로즈가 갈 길 바쁜 삼성 라이온즈의 발목을 잡았다. 



키움은 27일 오후 6시 30분 서울 고척스카이돔에서 열린 2021 신한은행 SOL KBO리그 삼성과의 맞대결에서 8-3 승리를 거뒀다. 



6위 키움은 이미 포스트시즌 자력 진출이 불가능한 상황. 이젠 남은..",,
10100301.20211027163957001,20211027,스포츠한국,"전성우
기자","NC와 마지막 2연전 삼성 허삼영 감독 ""백정현 뷰캐넌 출격""[고척에서]",스포츠>야구, 스포츠>농구_배구, 스포츠>축구,사고>스포츠사고,,,"데이비드 뷰캐넌,웨스 파슨스,허삼영,최종일,루친스키,원태인,드류,백정현,이동욱","서울,경기,몽고메리,창원,한국,고척,뷰캐넌,경남","한국시리즈,삼성 라이온즈,SOL,NC,NC 다이노스,파슨스,KT,신한은행,위즈,삼성,히어로즈,NC전","NC,마지막,삼성,허삼영,감독,백정현,뷰캐넌,출격,고척,삼성,라이온즈,허삼영,감독,29일,경남,창원,NC,파크,NC,다이,노스전,총력전,예고,허삼영,감독,삼성,라이온즈,서울,고척,스카이돔,히어로즈,신한은행,SOL,KBO,리그,맞대결,시즌,마지막,한국시리즈,KS,직행,티켓,주인공,정규,시즌,최종일,30일,가능성,위즈,KT,경기,삼성,허삼영,감독,염두,에이스,출격,예고,경기,경기,공식,회견,감독,삼성,허삼영,백정현,데이비드,뷰캐넌,NC전,선발,등판,NC,드류,루친스키,웨스,파슨스,에이스,최상,전력,감독,이동욱,NC,루친스키,파슨스,선발,등판,예고,원태인,선발,등판,질문,허삼영,감독,원태인,체력적,어려움,백정현,타구,부상,휴식,원태인,불펜,대기,가능성,설명,이날,삼성,선발투수,마이크,몽고메리다,삼성,타순,박해민,중견수,구자욱,우익수,호세피렐라,지명타자,강민호,포수,오재일,1루,김상수,2루,이원석,3루수,김지찬,유격수,김헌곤,좌익수,스포츠한국","삼성,백정현,nc,원태인,허삼영,루친스키,파슨스,뷰캐넌,최종일,스카이돔,고척,창원,가능성,경남,이동욱,서울,라이온즈,스포츠한국,좌익수",":[스포츠한국 고척= 전성우 기자] 삼성 라이온즈 허삼영 감독이 오는 29일과 30일 경남 창원 NC파크에서 열리는 NC 다이노스전에 총력전을 펼칠 것을 예고했다. 



허삼영 감독이 이끄는 삼성 라이온즈는 27일 서울 고척 스카이돔에서 키움 히어로즈와 2021 신한은행 SOL KBO리그 두 팀의 시즌 마지막 맞대결을 치른다.



한국시리즈(KS) ..",,
10100301.20211027163955001,20211027,스포츠한국,"허행운
기자",‘PS 실낱 희망’ 홍원기 감독 “큰 경기에는 투수 수비 안정성”[고척에서],스포츠>야구, 스포츠>축구, 스포츠>월드컵,,,,"홍원기,전병우,정찬헌,김재현","3경기,서울,경기,임해,한국,고척,경기도","SOL,삼성라이온즈,삼성전,키움,경기,신한은행,히어로즈,두산 베어스","희망,PS,실낱,홍원기,감독,경기,투수,수비,안정성,고척,3경기,승리,홍원기,감독,키움,히어로즈,서울,고척,스카이돔,삼성라이온즈,신한은행,SOL,KBO,리그,맞대결,시즌,마지막,키움,베어스,두산,경기,티켓,플레이오프,막차,조금씩,가능성,상황,만큼,3경기,경기,필승의지,삼성전,상황,경기,경기,공식,회견,감독,키움,홍원기,경기,투수,중요,마운드,의미,경기,핵심,포인트,수비,흐름,유지,상대,흐름,투수,수비,안정,핵심,감독,정찬헌,이날,선발,투수,배터리,호흡,포수,김재현,낙점,공격,공격,수비,투수,우선,배터리,호흡,김재현,선발,선택,선발,포수,자리,경기,수비,김웅빈,전병우,감독,수비,강화,기용,전병우,공격,선수,출전,기회,스포츠한국","홍원기,스카이돔,3경기,전병우,고척,김재현,플레이오프,서울,두산,스포츠한국,가능성,조금씩,삼성전,신한은행,sol,맞대결,정찬헌,삼성라이온즈,베어스,필승의지,만큼,히어로즈,김웅빈",":[스포츠한국 고척= 허행운 기자] 남아있는 3경기 모두 승리해야만 한다.



홍원기 감독이 이끄는 키움 히어로즈는 27일 서울 고척 스카이돔에서 삼성라이온즈와 2021 신한은행 SOL KBO리그 두 팀의 시즌 마지막 맞대결을 치른다.



키움은 지난 26일 두산 베어스와의 경기에서 2-7로 패하며 플레이오프 막차 티켓이 조금씩 멀어지고 있다. 이미..",,
10100101.20211027164018001,20211027,스포츠서울,장강훈,#키움의 실낱 같은 희망 주문 #기본기 #희생 #투지[SS 현장],스포츠>야구, 스포츠>축구, 스포츠>농구_배구,,,,"홍원기,이용규,이강철,김혜성","고척스카이돔,서울,경기,임해,하위타순","KT,삼성","키움,실낱,투지,희망,주문,기본기,희생,SS,현장,키움,타선,상대팀,대목,감독,KT,이강철,히어로즈,코치,생활,상대팀,수비,긴장,타자들,라인드라이브,타구,베이스,야구,리그,지배,홈런타자,200타점,합작,클린업트리오,키움,타선,색깔,이상향,2014년,포스트시즌,색깔,덕분,키움,진입,실낱,희망,고척스카이돔,서울,삼성,홈경기,KBO,리그,정규,시즌,67승,기록,4위,경기,추격,수치,절망적,경기,결과,구상,기본,홍원기,감독,개막,기본기,충실,희생,투지,플레이,주문,코치시절,철학,구장,관중들,입장,기운,플레이,강조,마지막,경기,프로,플레이,다짐,실낱,희망,현실,타선,뒷받침,이날,경기,타율,6위,0.258,저조,타율,득점,704점,색깔,유지,방증,5위,안타,1231개,키움,2루,2위,239개,28개,홈런,90개,8위,히트,점수,패턴,견인,상하위,타선,연결,원활,감독,선수,구성,상위,타순,해결,경기,하위타순,선수들,출루,기본,타선,연결,마음,경기,결과,베테랑,이용규,필두,김혜성,이정후,좌타,라인,선구안,기동력,평가,주자,득점력,배가,감독,강조,덕목,기본기,충실,플레이,상황,타격,포함,흐름,컨디션,동료,기회,야구,기본,가을잔치,선수단,염원,키움,야구,관심이","기본기,홈경기,서울,이강철,상대팀,4위,선구안,이정후,기동력,김혜성,관중들,이용규,포스트시즌,8위,득점력,2위,선수단,67승,5위,삼성,200타점,타자들,라인드라이브,홈런타자,6위,히어로즈","[스포츠서울 | 고척=장강훈기자] 키움의 가장 큰 강점은 ‘빠르고 날카로운 타선’이다. 상대팀이 까다로워하는 부분도 이 대목이다.

KT 이강철 감독은 “히어로즈에서 코치 생활도 해봤지만, 상대팀으로 만나면 수비가 특히 긴장을 해야 한다. 발빠른 타자들이 라인드라이브 타구를 만들어내니 한 베이스 더 가는 야구를 쉽게 한다”고 돌아봤다. 리그를 지배하는 ..",,
