뉴스 식별자,일자,언론사,기고자,title_kor,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,keys_kor,특성추출(가중치순 상위 50개),summary,URL,분석제외 여부
10100101.20201030222321001,20201030,스포츠서울,최승섭,"[포토] 두산, 3위로 준PO 직행",스포츠>야구, 스포츠>월드컵, 스포츠>올림픽_아시안게임,,,,,"키움,경기,잠실야구장,잠실","두산,히어,경기,준PO,두산 베어스","두산,3위,PO,직행,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,선수단,경기,관중들,인사,2020.,잠실","두산,잠실야구장,베어스,관중들,po,히어로즈,3위,선수단,잠실,kbo,경기,직행,인사,관중,리그,키움","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선수단이 경기 후 관중들에게 인사를 하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030211500001,20201030,스포츠서울,최승섭,[포토] 조인성 코치 '알칸타라 20승 축하해',스포츠>축구, 스포츠>야구, 스포츠>농구_배구,,,,조인성,"키움,경기,잠실야구장,잠실","히어,경기,두산,두산 베어스","축하,조인성,코치,알칸타라,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,코치,두산,조인성,경기,알칸타라,하이파이브,2020.,잠실","두산,알칸타라,조인성,잠실야구장,베어스,파이브,히어로즈,잠실,kbo,경기,코치,하이,리그,하이파이브,키움,축하","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 조인성 코치가 경기 후 알칸타라와 하이파이브를 하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030211247001,20201030,스포츠서울,최승섭,[포토] 박세혁 '알칸타라 20승 축하해',스포츠>야구, 스포츠>축구, 스포츠>월드컵,,,,박세혁,"키움,경기,잠실야구장,잠실","히어,경기,두산,두산 베어스","박세혁,알칸타라,축하,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,박세혁,경기,선발,투수,알칸타라,포옹,2020.,잠실","알칸타라,두산,박세혁,잠실야구장,베어스,히어로즈,잠실,kbo,경기,축하,리그,키움,포옹,선발,투수","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 박세혁이 경기 후 선발투수 알칸타라와 포옹을 하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030211143001,20201030,스포츠서울,최승섭,[포토] 두산 '시즌 마지막경기 완벽승',스포츠>축구, 스포츠>월드컵, 스포츠>농구_배구,,,,,"경기,잠실,잠실야구장,키움","경기,두산,두산 베어스,히어","두산,시즌,마지막,경기,완벽,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,선수,경기,하이파이브,승리,자축,2020.,잠실","두산,잠실야구장,베어스,파이브,히어로즈,잠실,kbo,경기,시즌,자축,승리,하이,리그,하이파이브,키움,마지막,완벽,선수","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선수들이 경기 후 하이파이브를 하며 승리를 자축하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030211142001,20201030,스포츠서울,최승섭,"[포토] 두산, 키움 완벽하게 제압하며 승리",스포츠>농구_배구, 스포츠>축구, 스포츠>월드컵,,,,,"경기,잠실,잠실야구장,키움","경기,두산,두산 베어스,히어","두산,완벽,제압,승리,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,선수,경기,하이파이브,승리,자축,2020.,잠실","두산,잠실야구장,베어스,파이브,히어로즈,잠실,kbo,경기,승리,하이,리그,자축,하이파이브,키움,제압,완벽,선수","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선수들이 경기 후 하이파이브를 하며 승리를 자축하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,"중복, 예외"
10100101.20201030211131001,20201030,스포츠서울,최승섭,[포토] 두산 '이겼다',스포츠>축구, 스포츠>월드컵, 스포츠>올림픽_아시안게임,,,,,"경기,잠실,잠실야구장,키움","경기,두산,두산 베어스,히어","두산,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,선수,경기,하이파이브,승리,자축,2020.,잠실","두산,잠실야구장,베어스,파이브,히어로즈,잠실,kbo,경기,자축,승리,하이,리그,하이파이브,키움,선수","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선수들이 경기 후 하이파이브를 하며 승리를 자축하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,"중복, 예외"
10100101.20201030210929001,20201030,스포츠서울,최승섭,[포토] 이영하-박세혁 '이겼다',스포츠>축구, 스포츠>월드컵, 스포츠>야구,,,,,"키움,경기,잠실야구장,잠실","히어,경기,두산,두산 베어스","이영하,박세혁,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,이영하,박세혁,경기,하이파이브,2020.,잠실","두산,잠실야구장,박세혁,베어스,파이브,히어로즈,이영하,잠실,kbo,경기,하이,리그,하이파이브,키움","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 이영하와 박세혁이 경기 후 하이파이브를 하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030210723001,20201030,스포츠서울,최승섭,"[포토] 두산베어스, 6연 연속 포스트시즌 진출!",스포츠>야구, 스포츠>월드컵, 스포츠>축구,,,,,"키움,경기,잠실야구장,잠실","두산베어스,히어,경기,두산,두산 베어스","두산베어스,연속,포스트,시즌,진출,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,선수단,경기,관중들,인사,2020.,잠실","두산,잠실야구장,베어스,관중들,히어로즈,선수단,잠실,두산베어스,kbo,진출,경기,연속,인사,관중,리그,키움,포스트,시즌","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선수단이 경기 후 관중들에게 인사를 하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030210158001,20201030,스포츠서울,최승섭,[포토] 이영하 '승리를 지켜라',스포츠>축구, 스포츠>월드컵, 스포츠>야구,,,,이영하,"키움,잠실야구장,잠실","히어,경기,두산,두산 베어스","이영하,승리,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,이영하,두산,투수,역투,2020.,잠실","두산,잠실야구장,이영하,베어스,히어로즈,잠실,kbo,역투,투수,경기,리그,키움,승리","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 투수 이영하가 9회 역투하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030205323001,20201030,스포츠서울,최승섭,[포토] 8이닝 2안타 호투 알칸타라 '응원 감사합니다',스포츠>야구, 스포츠>올림픽_아시안게임, 스포츠>축구,,,,,"잠실,잠실야구장,키움","경기,두산,두산 베어스,히어","호투,알칸타라,응원,감사,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,알칸타라,두산,선발,투수,교체,덕아웃,관중,인사,2020.,잠실","두산,알칸타라,잠실야구장,베어스,히어로즈,덕아웃,잠실,kbo,교체,호투,감사,인사,관중,경기,투수,리그,키움,선발,응원","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선발투수 알칸타라가 9회 교체되어 덕아웃으로 들어오며 관중에 인사를 하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030205116001,20201030,스포츠서울,최승섭,[포토] 알칸타라 '아~ 안타를 허용하고 말았어',스포츠>야구, 스포츠>올림픽_아시안게임, 스포츠>월드컵,,,,,"키움,잠실야구장,잠실","히어,경기,두산,두산 베어스","알칸타라,안타,허용,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,알칸타라,두산,선발,투수,9회,상대,러셀,안타,허용,2020.,잠실","두산,잠실야구장,알칸타라,베어스,9회,히어로즈,러셀,잠실,kbo,안타,허용,상대,투수,경기,리그,키움,선발","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선발투수 알칸타라가 9회초 상대 러셀에 안타를 허용한 후 아쉬워하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030204554001,20201030,스포츠서울,최승섭,[포토] 박건우 '삼진을 당하고 말았어',스포츠>축구, 스포츠>월드컵, 스포츠>야구,,,,,"당하,잠실,잠실야구장,키움","경기,두산,두산 베어스,히어","박건우,삼진,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,두산,박건우,8회,삼진아웃,2020.,잠실","두산,삼진아웃,박건우,잠실야구장,베어스,히어로즈,8회,삼진,잠실,kbo,경기,리그,키움","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 박건우가 8회말 2사 헛스윙 삼진아웃을 당한 후 아쉬워하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030204347001,20201030,스포츠서울,최승섭,[포토] 역투하는 키움 김성민,스포츠>축구, 스포츠>월드컵, 스포츠>야구,,,,김성민,"키움,잠실야구장,잠실","히어,경기,두산 베어스","역투,키움,김성민,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,김성민,키움,투수,역투,2020.,잠실","두산,잠실야구장,베어스,김성민,히어로즈,잠실,kbo,키움,역투,투수,리그,경기","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
키움 투수 김성민이 8회 역투하고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
10100101.20201030203933001,20201030,스포츠서울,최승섭,"[포토] 알칸타라, 8회까지 안타 1개만 허용",스포츠>야구, 스포츠>올림픽_아시안게임, 스포츠>축구,,,,,"키움,잠실야구장,잠실","히어,경기,두산,두산 베어스","알칸타라,8회,안타,허용,KBO,리그,두산,베어스,키움,히어로즈,경기,잠실야구장,알칸타라,두산,선발,투수,투구,덕아웃,2020.,잠실","두산,8회,덕아웃,잠실야구장,베어스,알칸타라,히어로즈,잠실,kbo,투구,안타,경기,리그,키움,허용,투수,선발","2020 KBO리그 두산 베어스와 키움 히어로즈의 경기가 30일 잠실야구장에서 열렸다. 
두산 선발투수 알칸타라가 8회 투구 ㅎ 덕아웃으로 들어오고 있다. 
2020. 10. 30.
잠실 | 최승섭기자 thunder@sportsseoul.com",,예외
